"cluster.number","Lat","Long","MM","YY","UpAge","LoAge","Ex","Pf","PfPR2.10","Method","EVI","Temperature","Precipitation","Population","ITN","NTL","Urban.Rural","utm_x","utm_y"
1,-4.726384,35.912846,11,2015,4.92,0.83,18,0,0,"RDT",0.34,26.88,633.34,1.61,56.82,0,"R",823.170268768402,9476.90335555208
2,-4.364093,35.852918,11,2015,4.83,0.5,14,0,0,"RDT",0.21,29.28,716.02,0.71,52.48,0,"R",816.674291769692,9517.02693624766
3,-4.903511,35.770286,11,2015,4.92,0.83,13,0,0,"RDT",0.21,27.7,583.94,14.83,57.28,7.84,"U",807.261544527408,9457.36611681859
4,-4.616079,35.799732,11,2015,3.75,0.92,6,0,0,"RDT",0.35,27.79,676.62,0.38,55.56,0,"R",810.659148572028,9489.16229359259
5,-6.692595,36.160461,11,2015,4.67,0.58,20,0,0,"RDT",0.23,27.65,571.35,0.2,62.11,0,"R",849.47322489621,9259.10931243711
6,-6.498862,36.189566,11,2015,4.75,0.67,15,0,0,"RDT",0.16,27.84,616.54,0.67,62.36,0,"R",852.83209598171,9280.53720682071
7,-5.67122,36.401884,11,2015,4.83,0.75,13,0,0,"RDT",0.31,25.75,634.69,0.66,56.25,0,"R",876.922639573468,9372.03252347865
8,-6.354236,36.678791,11,2015,4.75,0.83,5,0,0,"RDT",0.32,25.38,741.9,0.6,56.22,0,"R",907.133995269331,9296.18908191226
9,-5.461963,35.912592,12,2015,4.58,1.17,8,0,0,"RDT",0.22,30.37,617.28,0.13,61.38,0,"R",822.774261403913,9395.48923924362
10,-6.243803,36.220815,12,2015,4.75,0.83,17,0,0,"RDT",0.17,29.7,663.81,0.27,61.05,0,"R",856.468789032855,9308.75424349342
11,-6.404046,35.908923,12,2015,4.42,0.92,9,0,0,"RDT",0.15,30.17,637.79,1.94,64.24,0,"U",821.819633097645,9291.21916961127
12,-6.494254,35.946378,12,2015,4.5,0.67,10,0,0,"RDT",0.18,29.3,733.53,0.86,64.27,0,"R",825.909191363702,9281.21060140415
13,-6.040452,35.686055,10,2015,4.5,0.5,11,0,0,"RDT",0.17,29.33,611.61,0.48,67.11,0,"R",797.349444294126,9331.58991921185
14,-6.249205,35.822029,10,2015,4.92,0.83,9,0,0,"RDT",0.17,28.68,589.83,0.92,66.37,2.49,"R",812.291720674955,9308.40996829968
15,-6.212701,35.757304,10,2015,4.92,0.58,17,0,0,"RDT",0.19,27.83,623.23,2.15,66.4,7.47,"U",805.144729824129,9312.48785322302
16,-6.075857,35.520361,10,2015,4.67,0.83,9,0,0,"RDT",0.21,30.22,599.49,0.37,66.88,0,"U",778.976687634701,9327.76025194723
17,-5.65481,35.666554,12,2015,4.92,0.83,11,0,0,"RDT",0.25,31.01,622.87,0.32,64.71,0,"R",795.391619048064,9374.27557218871
18,-6.125279,35.403209,12,2015,4.33,1.83,11,0,0,"RDT",0.19,31.92,473.84,1.31,65.29,0,"R",765.977169650807,9322.35132919946
19,-5.086653,35.159451,12,2015,4.08,0.58,12,0,0,"RDT",0.25,28.23,614.74,0.14,51.74,0,"R",739.408965389774,9437.35704694604
20,-5.218571,36.162738,11,2015,3.83,1.08,6,0,0,"RDT",0.21,28.02,624.73,3.66,57.45,0,"R",850.660842097902,9422.2941471675
21,-3.287628,36.47002,10,2015,4,0.5,7,0,0,"RDT",0.45,18.09,1107.84,0.61,41.84,0,"U",885.73101731611,9635.94383774529
22,-3.552966,36.099699,10,2015,4.83,2,10,0,0,"RDT",0.19,31.49,544.13,4.01,43.77,0,"R",844.42824731027,9606.70765293574
23,-3.245863,36.987484,8,2015,4.92,2,6,0,0,"RDT",0.34,26.34,1299.96,1.5,44.42,0,"R",943.358218114555,9640.35616056341
24,-3.4541,37.019346,8,2015,4.92,0.58,13,0,0,"RDT",0.17,29.6,647.99,0.39,46.17,0,"R",946.811927648905,9617.26811999191
25,-3.390503,36.788138,8,2015,4.83,0.58,11,0,0,"RDT",0.27,23.26,1016.33,5.26,43.05,8.93,"R",921.098830876868,9624.41896898649
26,-3.356159,36.698634,8,2015,4.83,0.5,6,0,0,"RDT",0.31,23.19,1275.66,52.55,32.61,39.03,"U",911.149811059365,9628.26162066161
27,-3.3992,36.693401,8,2015,4.17,1,8,0,0,"RDT",0.37,26.32,1042.3,31.85,30.44,32.62,"U",910.54915793425,9623.49643491338
28,-3.39475,36.684636,8,2015,4.58,0.58,6,0,0,"RDT",0.3,23.19,1275.66,79.41,30.44,27.87,"U",909.575397328696,9623.99305933545
29,-3.381663,36.672194,8,2015,4.92,0.67,9,0,0,"RDT",0.19,25.17,1219.24,135.49,30.44,35.05,"U",908.195973557496,9625.44786440925
30,-3.375958,36.660075,8,2015,4.17,0.5,7,0,0,"RDT",0.15,25.17,1219.24,123.28,39.57,30.78,"U",906.849387234314,9626.08484738607
31,-3.527971,35.657031,9,2015,4.83,0.58,21,0,0,"RDT",0.26,25.43,569.96,0.47,49.81,0,"R",795.210187992798,9609.62681361692
32,-3.34035,35.703865,9,2015,4.5,0.58,11,0,0,"RDT",0.26,23.88,564.21,2.93,50.69,0,"R",800.476255756343,9630.37341946442
33,-2.055632,35.632994,11,2015,4.75,1.17,10,0,0,"RDT",0.28,24.06,1660.96,1.62,45.66,0,"U",792.902563915725,9772.54838505729
34,-2.13021,35.872748,11,2015,4.58,0.67,20,0,0,"RDT",0.22,29.66,816.36,0.22,44.64,0,"R",819.579952840842,9764.24871164217
